Song,Performer
Break Every Rule,['Tina Turner']
Break Free,['Ariana Grande Featuring Zedd']
Break It Down Again,['Tears For Fears']
Break It Off,['Rihanna & Sean Paul']
Break It To Me Gently,['Juice Newton' 'Brenda Lee' 'Aretha Franklin']
Break It To Them Gently,['Burton Cummings']
Break It Up,['Foreigner']
Break My Bank,['New Boyz Featuring Iyaz']
Break My Heart,['Spectacular! Cast']
Break My Stride,['Matthew Wilder']
Break On Me.,['Keith Urban']
Break Out,['Mitch Ryder And The Detroit Wheels']
Break The Ice,['Britney Spears']
Break The Rules,['Charli XCX']
Break Up,['Mario Featuring Gucci Mane & Sean Garrett' 'Del Shannon']
Break Up In A Small Town,['Sam Hunt']
Break Up In The End,['Cole Swindell']
Break Up To Make Up,['The Stylistics' 'Cynthia']
Break Up With Him,['Old Dominion']
"Break Up With Your Girlfriend, I'm Bored",['Ariana Grande']
Break Ups 2 Make Ups,"[""Method Man Featuring D'Angelo""]"
Break Ya Neck,['Busta Rhymes']
Break You Off,['The Roots Featuring Musiq']
Break Your Heart,['Taio Cruz Featuring Ludacris']
Break Your Promise,['The Delfonics']
Break-A-Way,['Tracey Ullman']
Break-Up,['Jerry Lee Lewis And His Pumping Piano']
Breakadawn,['De La Soul']
Breakaway,['Kelly Clarkson' 'Big Pig']
Breakdance,['Irene Cara']
Breakdown,['Fu-Schnickens' 'Tom Petty And The Heartbreakers' 'Seduction']
Breakdown Dead Ahead,['Boz Scaggs']
Breaker - Breaker,['Outlaws']
Breakeven,['The Script']
Breakfast At Tiffany's,['Deep Blue Something']
Breakfast For Two,['Country Joe McDonald']
Breakfast In America,['Supertramp']
Breakfast In Bed,['Dusty Springfield']
Breakin' Away,['Al Jarreau']
Breakin' In A Brand New Broken Heart,['Connie Francis']
Breakin' My Heart (Pretty Brown Eyes),['Mint Condition']
Breakin' Up Is Breakin' My Heart,['Roy Orbison']
Breakin'...there's No Stopping Us,['Ollie And Jerry']
Breaking All The Rules,['She Moves']
Breaking Away,['Balance']
Breaking Free,"['Zac Efron, Andrew Seeley & Vanessa Anne Hudgens']"
Breaking The Habit,['Linkin Park']
Breaking Up Is Hard On You,['The American Comedy Network']
Breaking Up Is Hard To Do,"['Neil Sedaka'
 'The Partridge Family Starring Shirley Jones Featuring David Cassidy'
 'Lenny Welch' ""Jivin' Gene And The Jokers"" 'The Happenings']"
Breaking Up Somebody's Home,['Albert King']
Breaking Us In Two,['Joe Jackson']
Breakout,['Miley Cyrus' 'Swing Out Sister']
Breakthrough,"['Bridgit Mendler, Adam Hicks, Naomi Scott & Hayley Kiyoko']"
Breakwater,['Lawrence Welk And His Orchestra']
Breath,['Breaking Benjamin']
Breathe,"['Michelle Branch' 'Blu Cantrell Featuring Sean Paul' 'Fabolous'
 'Faith Hill' 'Telepopmusik' 'Taylor Swift Featuring Colbie Caillat']"
Breathe (2 AM),['Anna Nalick']
Breathe Again,['Toni Braxton']
Breathe And Stop,['Q-Tip']
"Breathe, Stretch, Shake",['Mase Featuring P. Diddy']
Breathin,['Ariana Grande']
Breathless,['The Corrs' 'Taylor Swift']
Breezin',['George Benson']
Brenda,['The Cupids']
Brian Wilson,['Barenaked Ladies']
Brian's Song,['Michel Legrand']
Brick House,['Commodores']
Bridge Over Troubled Water,"['Simon & Garfunkel' 'Tessanne Chin' 'Glee Cast'
 'Mary J. Blige & Andrea Bocelli' 'Linda Clifford']"
Bridge Over Troubled Water/Brand New Me,['Aretha Franklin']
Bridget The Midget (The Queen Of The Blues),['Ray Stevens']
Bridging The Gap,['Nas Featuring Olu Dara']
Bright,['Echosmith']
Bright Lights,['matchbox twenty']
Bright Lights Big City,['Jimmy Reed']
"Bright Lights, Big City",['Sonny James']
Brighter Than The Sun,['Colbie Caillat']
Brighton Hill,['Jackie DeShannon']
Brilliant Disguise,['Bruce Springsteen']
Bring A Little Lovin',['Los Bravos']
Bring A Little Sunshine (To My Heart),['Vic Dana']
Bring Back The Love Of Yesterday,['The Dells']
Bring Back The Time,['B.J. Thomas']
Bring Back Those Rockabye Baby Days,['Tiny Tim']
Bring Down The Moon,['Boy Meets Girl']
Bring Em Out,['T.I.']
Bring It All Back,['Grayson Hugh']
Bring It All To Me,['Blaque']
Bring It Back,['Travis Porter']
Bring It Home (And Give It To Me),['Hot Sauce']
Bring It On,['Keith Washington']
Bring It On Home,['Little Big Town' 'Lou Rawls']
Bring It On Home To Me,['Eddie Floyd' 'The Animals' 'Sam Cooke']
Bring It Up,['James Brown And The Famous Flames']
Bring Me To Life,['Evanescence Featuring Paul McCoy']
Bring On The Rain,['Jo Dee Messina With Tim McGraw']
Bring Out The Freak In You,['Lil Rob']
Bring The Boys Home,['Freda Payne']
Bring The Pain,['Method Man']
Bring Your Love To Me,['The Righteous Brothers']
Bringin' On The Heartbreak,['Def Leppard']
Bringing It Back,['Elvis Presley']
Brink Of Disaster,['Lesley Gore']
Bristol Stomp,['The Dovells']
Bristol Twistin' Annie,['The Dovells']
Brite Eyes,['Robbin Thompson Band']
Broadway,['Goo Goo Dolls']
Broccoli,['D.R.A.M. Featuring Lil Yachty']
Broken,['lovelytheband' 'Seether Featuring Amy Lee' 'Lifehouse']
Broken Arrow,['Rod Stewart']
Broken Clocks,['SZA']
Broken Halos,['Chris Stapleton']
Broken Heart,['The Fiestas']
Broken Heart And A Pillow Filled With Tears,['Patti Page']
Broken Hearted,['The Miracles']
Broken Hearted Me,['Anne Murray']
Broken Land,['The Adventures']
Broken Wings,['Mr. Mister']
Broken-Hearted Melody,['Sarah Vaughan']
Brokenhearted,['Brandy' 'Karmin']
Brokenheartsville,['Joe Nichols']
Brontosaurus Stomp,['The Piltdown Men']
Brooklyn,['Cody Jameson']
Brooklyn Girls,['Robbie Dupree']
Brooklyn Roads,['Neil Diamond']
Brooklyn Zoo,"[""Ol' Dirty Bastard""]"
Broomstick Cowboy,['Bobby Goldsboro']
Brotha,['Angie Stone']
Brother,['NEEDTOBREATHE Featuring Gavin DeGraw']
Brother Louie,['Stories']
Brother Love's Travelling Salvation Show,['Neil Diamond']
Brother Rapp (Part 1),['James Brown']
Brother's Gonna Work It Out,['Willie Hutch']
Brother-In-Law (He's A Moocher),['Paul Peek']
Brown Arms In Houston,['Orpheus']
Brown Eyed Girl,['Van Morrison' 'El Chicano']
Brown Eyed Woman,['Bill Medley']
Brown Paper Bag,['Syndicate Of Sound']
Brown Skin Girl,"['Beyonce, SAINt JHN & Wizkid Featuring Blue Ivy Carter']"
Brown Sugar,"['The Rolling Stones' ""D'Angelo""]"
Brownsville,['Joy Of Cooking']
Bruce,['Rick Springfield']
Bruises,['Train Featuring Ashley Monroe']
Bubble Butt,"['Major Lazer Featuring Bruno Mars, Tyga & Mystic']"
Bubble Gum Music,['Rock & Roll Double Bubble']
Bubbly,['Colbie Caillat']
Buckaroo,['Buck Owens and The Buckaroos']
"Bucket ""T""",['Ronny And The Daytonas']
Bucktown,['Smif-N-Wessun']
Budapest,['George Ezra']
Buddy,['Musiq Soulchild']
Buddy X,['Neneh Cherry']
Buffalo Soldier,['Flamingos']
Buffalo Stance,['Neneh Cherry']
Bug A Boo,"[""Destiny's Child""]"
Bugatti,['Ace Hood Featuring Future & Rick Ross']
Build Me Up Buttercup,['The Foundations']
Building A Mystery,['Sarah McLachlan']
Building Bridges,['Brooks & Dunn With Sheryl Crow & Vince Gill']
Bulldog,['The Fireballs']
Bullet With Butterfly Wings,['The Smashing Pumpkins']
Bulletproof,['La Roux']
Bullets In The Gun,['Toby Keith']
Bullish,"[""Herb Alpert's Tijuana Brass""]"
Bullwhip Rock,['Cyclones']
Bully,['Shinedown']
Bumble Bee,['LaVern Baker' 'The Searchers']
Bumble Boogie,['B. Bumble & The Stingers']
Bump Me Baby Part 1,['Dooley Silverspoon']
Bump N' Grind,['R. Kelly']
"Bump, Bump, Bump",['B2K & P. Diddy']
Bumpin' The Night,['Florida Georgia Line']
Bungle In The Jungle,['Jethro Tull']
Bunny Hop,['The Applejacks']
Burn,"['Jo Dee Messina' 'Ellie Goulding' 'Militia' 'Usher'
 'Mobb Deep Featuring Vita & Noyd']"
Burn It Down,['Linkin Park']
Burn Out,['Midland']
Burn Rubber (Why You Wanna Hurt Me),['The Gap Band']
Burn Slow,['Wiz Khalifa Featuring Rae Sremmurd']
Burn The House Down,['AJR']
Burnin' For You,['Blue Oyster Cult']
Burnin' It Down,['Jason Aldean']
Burnin' Sky,['Bad Company']
Burnin' Thing,['Mac Davis']
Burnin' Up,"['Jonas Brothers' 'Faith Evans Featuring Missy ""Misdemeanor"" Elliott'
 'Jessie J Featuring 2 Chainz']"
Burning Bridges,['The Mike Curb Congregation' 'Jack Scott']
Burning Down One Side,['Robert Plant']
Burning Down The House,['Talking Heads']
Burning Flame,['Vitamin Z']
Burning Heart,['Vandenberg' 'Survivor']
Burning House,['Emily Ann Roberts' 'Cam']
Burning Like A Flame,['Dokken']
Burning Love,['Elvis Presley']
Burning Man,['Dierks Bentley Featuring Brothers Osborne']
Burning Spear,['The Soulful Strings']
Bury A Friend,['Billie Eilish']
Bus Stop,['The Hollies']
Business Is Business,['Lil Baby & Gunna']
Bust A Move,['Young M.C.' 'Glee Cast']
Bust It Baby Part 2,['Plies Featuring Ne-Yo']
Bust Out,['The Busters']
Bust Your Windows,['Jazmine Sullivan']
Busted,['Ray Charles and his Orchestra']
Buster Browne,['Willie Mitchell']
Bustin' Loose,['Chuck Brown & The Soul Searchers']
Bustin' Out,['Rick James']
Busy Man,['Billy Ray Cyrus']
But For Love,['Jerry Naylor']
But For The Grace Of God,['Keith Urban']
But I Do,['Clarence Henry' 'Bobby Vinton']
But It's Alright,['Huey Lewis & The News' 'J.J. Jackson']
But Not For Me,['Ketty Lester']
But On The Other Hand Baby,['Ray Charles and his Orchestra']
But You Know I Love You,['The First Edition' 'Dolly Parton']
But You're Mine,['Sonny & Cher']
Butt Naked,['Charm']
Butta Love,['Next']
Butter Boy,['Fanny']
Butterflies,['Michael Jackson']
Butterfly,['Crazy Town' 'Danyel Gerard']
Butterfly Baby,['Bobby Rydell']
Butterfly Doors,['Lil Pump']
Butterfly Effect,['Travis Scott']
Butterfly Fly Away,['Miley Cyrus & Billy Ray Cyrus']
Butterfly Kisses,['Raybon Bros.']
Button Off My Shirt,['Paul Carrack']
Buttons,['The Pussycat Dolls Featuring Snoop Dogg']
Buy For Me The Rain,['The Nitty Gritty Dirt Band']
Buy Me A Boat,['Chris Janson']
Buy Me A Rose,['Kenny Rogers With Alison Krauss & Billy Dean']
Buy My Own Drinks,['Runaway June']
Buy U A Drank (Shawty Snappin'),['T-Pain Featuring Yung Joc']
Buying A Book,['Joe Tex']
Buzz Buzz A-Diddle-It,['Freddy Cannon']
Buzzin',['Mann' 'Shwayze Featuring Cisco Adler']
Buzzkill,['Luke Bryan']
Buzzy Brown,['Tim Davis']
By My Lonely,['Kevin Gates']
By The Light Of The Silvery Moon,['Jimmy Bowen with the Rhythm Orchids']
By The Time I Get To Phoenix,['Glen Campbell' 'Isaac Hayes' 'The Mad Lads']
By The Time This Night Is Over,['Kenny G With Peabo Bryson']
By The Way,['Red Hot Chili Peppers']
By Your Side,['Sade']
Bye Bye,['Mariah Carey']
Bye Bye Baby,['U.S. 1' 'Mary Wells']
Bye Bye Barbara,['Johnny Mathis']
Bye Bye Blues,['Bert Kaempfert And His Orchestra']
Bye Bye Bye,"[""'N Sync""]"
"Bye, Bye, Baby (Baby, Goodbye)","['The 4 Seasons Featuring the ""Sound of Frankie Valli""']"
"C U When U Get There (From ""Nothing To Lose"")",['Coolio Featuring 40 Thevz']
C'est La Vie,['B*Witched' 'Robbie Nevil' 'Greg Lake']
C'est Si Bon (It's So Good),['Conway Twitty']
C'mon,['Ke$ha' 'Poco']
C'mon And Get My Love,['D-Mob Introducing Cathy Dennis']
C'mon And Swim,['Bobby Freeman']
C'mon Everybody,['Eddie Cochran']
C'mon Marianne,"['The 4 Seasons Featuring the ""Sound of Frankie Valli""' 'Donny Osmond']"
C'mon N' Ride It (The Train),"[""Quad City DJ's""]"
C-I-T-Y,['John Cafferty & The Beaver Brown Band']
C.C. Rider,['Bobby Powell']
C.R.E.A.M. (Cash Rules Everything Around Me),['Wu-Tang Clan']
C.b. Savage,['Rod Hart']
CC,['Migos Featuring Gucci Mane']
CHopstix,['ScHoolboy Q + Travis Scott']
CRZY,['Kehlani']
Ca Plane Pour Moi,['Plastic Bertrand']
Cab Driver,['The Mills Brothers']
Cabaret,['Herb Alpert & The Tijuana Brass']
Cafe Amore,['Spyro Gyra']
Cake,['Flo Rida & 99 Percent']
Cake By The Ocean,['DNCE']
Calabria 2008,['Enur Featuring Natasja']
Calcutta,['Lawrence Welk And His Orchestra' 'The Four Preps']
Caldonia,['James Brown And His Orchestra']
Caledonia,['Robin Trower']
Calendar Girl,['Neil Sedaka']
California,['Debby Boone']
California Bound,['Ronny And The Daytonas']
California Day,['Starland Vocal Band']
California Dreamin',['The Mamas & The Papas' 'Bobby Womack' 'The Beach Boys' 'America']
California Earthquake,['Mama Cass' 'Norman Greenbaum']
California Girl,['Eddie Floyd']
California Girl (And The Tennessee Square),['Tompall & The Glaser Brothers']
California Girls,['David Lee Roth' 'The Beach Boys']
California Gurls,['Katy Perry Featuring Snoop Dogg']
California Kid And Reemo,['Lobo']
California King Bed,['Rihanna']
California My Way,['The Main Ingredient']
California Nights,['Lesley Gore' 'Sweet']
California On My Mind,['Morning Mist']
California Saga (On My Way To Sunny Californ-i-a),['The Beach Boys']
California Soul,['The 5th Dimension']
California Sun,['The Rivieras' 'Joe Jones']
Californication,['Red Hot Chili Peppers']
Call Casting,['Migos']
Call It Love,['Poco']
Call It Poison,['The Escape Club']
Call It Rock N' Roll,['Great White']
Call It What You Want,['Taylor Swift']
Call Me,"['Tweet' 'Chris Montez' 'Le Click' 'Blondie' 'Johnny Mathis' 'Skyy'
 'Go West' 'Dennis DeYoung']"
Call Me (Come Back Home),['Al Green']
"Call Me (From ""Booty Call"")","[""Too Short & Lil' Kim""]"
Call Me Irresponsible,['Frank Sinatra' 'Jack Jones']
Call Me Lightning,['The Who']
Call Me Maybe,['Carly Rae Jepsen']
Call Me Mr. In-Between,['Burl Ives']
Call Me Up In Dreamland,['Van Morrison']
Call Me When You're Sober,['Evanescence']
Call Me/Son Of A Preacher Man,['Aretha Franklin']
Call My Name,['Prince']
"Call My Name, I'll Be There",['Wilson Pickett']
Call On Me,['Starley' 'Janet & Nelly' 'Bobby Bland' 'Chicago']
Call Out My Name,['The Weeknd' 'Zwol']
Call The Coroner,['Future']
Call To The Heart,['Giuffria']
Call You Mine,['The Chainsmokers & Bebe Rexha']
Callaita,['Bad Bunny & Tainy']
Called Out In The Dark,['Snow Patrol']
Callin' Doctor Casey,['John D. Loudermilk']
Callin' Me,"[""Lil' Zane Featuring 112""]"
Calling All Angels,['Train']
Calling All Girls,['Queen']
Calling All The Monsters,['China Anne McClain']
Calling America,['Electric Light Orchestra']
Calling Dr. Love,['KISS']
Calling It Love,['Animotion']
Calling My Spirit,['Kodak Black']
Calling Occupants Of Interplanetary Craft,['Carpenters']
Calm Down,['Busta Rhymes Featuring Eminem']
Calma,['Pedro Capo X Farruko']
Came Here To Forget,['Blake Shelton']
Camel Back,['A.B. Skhy']
Camelot,['NLE Choppa']
Camouflage,['Brad Paisley']
Campfire Girls,['Billy Joe Royal']
Can I Call You My Girl,['PC Quest']
Can I Change My Mind,['Tyrone Davis']
Can I Get A Witness,['Marvin Gaye' 'Lee Michaels']
Can I Get A...,['Jay-Z Featuring Amil (Of Major Coinz) & Ja']
Can I Get To Know You Better,['The Turtles']
Can I Have It Like That,['Pharrell Featuring Gwen Stefani']
Can I Have This Dance,['Zac Efron & Vanessa Hudgens']
Can I Stay With You,['Karyn White']
Can I Touch You...There?,['Michael Bolton']
Can I Trust You?,['The Bachelors']
Can The Can,['Suzi Quatro']
Can This Be Real,['Natural Four']
Can U Believe,['Robin Thicke']
Can U Feel It,['3rd Party']
Can U Get Wit It,['Usher']
"Can We (From ""Booty Call"")",['SWV']
Can We Still Be Friends,['Todd Rundgren' 'Robert Palmer']
Can We Talk,['Tevin Campbell']
Can You Do It,['Grand Funk Railroad' 'The Contours']
Can You Feel It,['Bobby Goldsboro' 'The Jacksons']
Can You Feel Me,['Dru Down']
Can You Feel The Beat,['Lisa Lisa And Clult Jam With Full Force']
"Can You Feel The Love Tonight (From ""The Lion King"")",['Elton John']
Can You Fool,['Glen Campbell']
Can You Get To That,['Funkadelic']
Can You Handle It?,['Graham Central Station']
Can You Jerk Like Me,['The Contours']
Can You Please Crawl Out Your Window?,['Bob Dylan']
Can You Read My Mind,['Maureen McGovern']
Can You Stand The Rain,['New Edition']
Can You Stop The Rain,['Peabo Bryson']
Can Your Monkey Do The Dog,['Rufus Thomas']
Can't Be Broken,['Lil Wayne']
Can't Be Friends,['Trey Songz']
Can't Be Really Gone,['Tim McGraw']
Can't Be Tamed,['Miley Cyrus']
"Can't Be Wasting My Time (From ""Don't Be A Menace..."")",['Mona Lisa Featuring Lost Boyz']
Can't Believe,['Faith Evans Featuring Carl Thomas']
Can't Believe It,['T-Pain Featuring Lil Wayne']
Can't Buy Me Love,['The Beatles']
Can't Change My Heart,['Cate Bros.']
Can't Cry Anymore,['Sheryl Crow']
Can't Cry Hard Enough,['The Williams Brothers']
Can't Deny It,['Fabolous Featuring Nate Dogg']
Can't Feel My Face,['The Weeknd']
Can't Fight The Moonlight,['LeAnn Rimes']
Can't Fight This Feeling,['REO Speedwagon']
Can't Find The Time,['Rose Colored Glass' 'Orpheus']
Can't Forget You,['Gloria Estefan']
Can't Get Enough,"['J. Cole Featuring Trey Songz' 'Willie Max Featuring Raphael Saadiq'
 'Bad Company' 'Patty Loveless']"
"Can't Get Enough Of You, Baby",['? (Question Mark) & The Mysterians']
Can't Get Enough Of Your Love,['Taylor Dayne']
"Can't Get Enough Of Your Love, Babe",['Barry White']
Can't Get Enuff,['Winger']
Can't Get It Out Of My Head,['Electric Light Orchestra']
Can't Get Over (The Bossa Nova),['Eydie Gorme']
Can't Get Over Losing You,['Donnie Elbert']
Can't Get Started,['Peter Wolf']
Can't Get Used To Losing You,['Andy Williams']
Can't Get You Off My Mind,['Lenny Kravitz']
Can't Get You Out Of My Head,['Kylie Minogue']
Can't Get You Out Of My Mind,['Lil Suzy']
Can't Give You Anything (but My Love),['The Stylistics']
Can't Go For That,['Tamia']
Can't Have Everything,['Drake']
Can't Help But Love You,['The Standells']
Can't Help But Wait,['Trey Songz']
Can't Help Falling In Love,"['Elvis Presley With The Jordanaires' 'Corey Hart' 'Al Martino'
 'Christina Grimmie' 'Andy Williams']"
"Can't Help Falling In Love (From ""Sliver"")",['UB40']
Can't Help Lovin' That Girl Of Mine,['The Excels']
Can't Help Myself,['Gerald Levert']
Can't Hide Love,"['Earth, Wind & Fire']"
Can't Hold Back (Your Loving),['Kano']
Can't Hold Us,['Macklemore & Ryan Lewis Featuring Ray Dalton']
Can't Hold Us Down,"[""Christina Aguilera Featuring Lil' Kim""]"
Can't Keep A Good Man Down,['Eddie Money']
Can't Knock The Hustle,['JAY-Z']
Can't Leave 'Em Alone,['Ciara Featuring 50 Cent']
Can't Leave Without It,['21 Savage']
Can't Let Go,['Anthony Hamilton' 'Mariah Carey' 'Laurnea' 'Stephen Stills']
Can't Let You Go,"[""Fabolous Featuring Mike Shorey & Lil' Mo""]"
Can't Let You Out Of My Sight,['Chuck Jackson & Maxine Brown']
Can't Nobody,['Kelly Rowland']
Can't Nobody Hold Me Down,['Puff Daddy (Featuring Mase)']
Can't Nobody Love You,['Solomon Burke']
Can't Put A Price On Love,['The Knack']
Can't Raise A Man,['K. Michelle']
Can't Remember To Forget You,['Shakira Featuring Rihanna']
Can't Satisfy,['The Impressions']
Can't Say,['Travis Scott']
Can't Say Nothin',['Curtis Mayfield']
Can't Seem To Make You Mine,['The Seeds']
Can't Shake Loose,['Agnetha Faltskog']
Can't Shake You,['Gloriana']
Can't Sleep,['Rockets']
Can't Sleep Love,['Pentatonix']
Can't Smile Without You,['Barry Manilow']
Can't Stay,['Dave Hollister']
Can't Stay Away From You,['Gloria Estefan & Miami Sound Machine']
Can't Stop,['Red Hot Chili Peppers' 'After 7' 'Rick James']
Can't Stop Dancin',['Captain & Tennille' 'Becky G']
Can't Stop Falling Into Love,['Cheap Trick']
"Can't Stop Groovin' Now, Wanna Do It Some More",['B.T. Express']
Can't Stop Lovin' You,['Van Halen']
Can't Stop Loving You,['Phil Collins' 'Tom Jones' 'The Last Word']
Can't Stop My Heart From Loving You (The Rain Song),['Aaron Neville']
Can't Stop The Feeling!,['Justin Timberlake']
Can't Stop This Thing We Started,['Bryan Adams']
"Can't Stop, Won't Stop",['Young Gunz']
Can't Take A Joke,['Drake']
Can't Take My Eyes Off You,['Nancy Wilson' 'Frankie Valli']
Can't Tell Me Nothing,['Kanye West']
Can't Truss It,['Public Enemy']
Can't Wait,['Redman']
Can't Wait All Night,['Juice Newton']
Can't Wait Another Minute,['Five Star']
Can't We Try,"['Rockell [Duet With Collage]' 'Dan Hill (Duet With Vonda Shepard)'
 'Teddy Pendergrass']"
Can't You Find Another Way (Of Doing It),['Sam & Dave']
Can't You Hear My Heartbeat,"[""Herman's Hermits""]"
Can't You Hear The Song?,['Wayne Newton']
Can't You Just See Me,['Aretha Franklin']
Can't You See,['The Marshall Tucker Band' 'Waylon Jennings']
"Can't You See (From ""New Jersey Drive"")",['Total Featuring The Notorious B.I.G.']
Can't You See (You're Losing Me),['Mary Wells']
Can't You See Me Cry,['The New Colony Six']
Can't You See That She's Mine,['The Dave Clark Five']
Can'tcha Say (You Believe In Me)/Still In Love,['Boston']
Canadian Idiot,"['""Weird Al"" Yankovic']"
Canadian Sunset,['Etta Jones' 'Sounds Orchestral']
Cancer,['twenty one pilots']
Candida,['Dawn']
Candle (Sick And Tired),['The White Tie Affair']
Candle In The Wind,['Elton John']
Candle In The Wind 1997/Something About The Way You Look Tonight,['Elton John']
Candles,['Glee Cast']
Candy,"['Cameo' 'Mandy Moore' 'Iggy Pop With Kate Pierson' 'The Astors'
 'Doja Cat']"
Candy Apple Red,['Bonnie Guitar']
Candy Everybody Wants,"['10,000 Maniacs']"
Candy Girl,['New Edition' 'The 4 Seasons']
Candy Man,['Roy Orbison']
Candy Paint,['Post Malone']
Candy Rain,['Soul For Real']
Candy Shop,['50 Cent Featuring Olivia']
Candy Sweet,['Pat Boone']
Candy To Me,['Eddie Holland']
Candy's Going Bad,['Golden Earring']
Candyman,['Christina Aguilera']
Canned Ham,['Norman Greenbaum']
Cannibal,['Ke$ha']
Cannonball,"['Duane Eddy His Twangy Guitar And The Rebels' 'The Breeders' 'Supertramp'
 'Lea Michele']"
Cantaloop (Flip Fantasia),['US3']
Canvas Of Life,['Minor Detail']
Cap And Gown,['Marty Robbins']
Capsize,['Frenship & Emily Warren']
Captain Howdy,['Simon Stokes']
Captain Save A Hoe,['E-40']
Capture The Moment,['Jay & The Americans']
Capture Your Heart,['Blue']
Car Wash,['Rose Royce' 'Christina Aguilera Featuring Missy Elliott']
"Cara, Mia",['Jay & The Americans']
Cara-Lin,['The Strangeloves']
Caramel,['City High Featuring Eve']
Caravan,['Santo & Johnny']
Caravan Of Love,"['Isley, Jasper, Isley']"
Carefree Highway,['Gordon Lightfoot']
Careful,['Paramore']
Careless Love,['Ray Charles']
Careless Whisper,['Wham! Featuring George Michael' 'Seether']
Carey,['Joni Mitchell']
Caribbean,['Mitchell Torok']
Caribbean Blue,['Enya']
Caribbean Festival,['Kool & The Gang']
Caribbean Queen (No More Love On The Run),['Billy Ocean']
Carlene,['Phil Vassar']
Carmen,['Herb Alpert & The Tijuana Brass']
Carnival,['Natalie Merchant']
Carol,['Chuck Berry' 'Tommy Roe']
Carolina,['Parmalee']
Carolina Day,['Livingston Taylor']
Carolina In My Mind,['Crystal Mansion Featuring Johnny Caswell' 'James Taylor']
Carolina In The Pines,['Michael Murphey']
Caroline,['Amine']
"Caroline, No",['Brian Wilson']
Carolyn,['Merle Haggard And The Strangers']
Carousel,['Travis Scott']
Carpet Man,['The 5th Dimension']
Carrie,['Europe' 'Cliff Richard']
Carrie's Gone,['Le Roux']
Carrie-Anne,['The Hollies']
Carry Me,['David Crosby/Graham Nash']
Carry Me Back,['The Rascals']
"Carry Me, Carrie",['Dr. Hook And The Medicine Show']
Carry On,['fun.' 'XXXTentacion']
Carry On Wayward Son,['Kansas']
Carry Out,['Timbaland Featuring Justin Timberlake']
Cars,['Gary Numan']
Cars With The Boom,"[""L'Trimm""]"
Carter Son,['YoungBoy Never Broke Again']
Casanova,['Levert']
Case Of The Ex (Whatcha Gonna Do),['Mya']
Case Of You,['Frank Stallone']
Cash Me Outside (#CashMeOutside),['DJ Suede The Remix God']
Cash Shit,['Megan Thee Stallion Featuring DaBaby']
Cashin' Out,['Ca$h Out']
Casino Royale,['Herb Alpert & The Tijuana Brass']
Casonova (Your Playing Days Are Over),['Ruby Andrews']
Casper,['TakeOff']
Cast Your Fate To The Wind,['Vince Guaraldi Trio' 'Sounds Orchestral' 'Steve Alaimo' 'Shelby Flint']
Castaway,['Zac Brown Band']
Castin' My Spell,['The Johnny Otis Show']
Castle On The Hill,['Ed Sheeran']
Castles In The Air,['Don McLean']
Castles In The Sand,['Little Stevie Wonder']
Castles In The Sky,['Ian Van Dahl Featuring Marsha']
Cat Daddy,['Rej3ctz']
Cat People (Putting Out Fire),['David Bowie']
Cat Scratch Fever,['Ted Nugent']
Cat's Eye In The Window,['Tommy James']
Cat's In The Cradle,['Harry Chapin' 'Ugly Kid Joe']
Catch Me,['Demi Lovato']
"Catch Me (I'm Falling) (From The Film ""Hiding Out"")",['Pretty Poison']
Catch Me I'm Falling,['Real Life']
Catch My Breath,['Kelly Clarkson']
Catch My Fall,['Billy Idol']
Catch The Wind,['Donovan']
Catch Us If You Can,['The Dave Clark Five']
Catching The Sun,['Spyro Gyra']
Cater 2 U,"[""Destiny's Child""]"
Caterina,['Perry Como']
Catfish,['Four Tops']
Cathedrals,['D.C. LaRue']
Cathy's Clown,['The Everly Brothers']
Caught A Lite Sneeze,['Tori Amos']
Caught In A Dream,['Alice Cooper']
Caught In The Game,['Survivor']
Caught Out There,['Kelis']
Caught Their Eyes,['JAY-Z Featuring Frank Ocean']
Caught Up,['Usher']
Caught Up In The Rapture,['Anita Baker']
Caught Up In You,['38 Special']
Causing A Commotion,['Madonna']
Cecilia,['Simon & Garfunkel' 'Times Two']
Cecilia And The Satellite,['Andrew McMahon In The Wilderness']
Celebrate,['Three Dog Night' 'DJ Khaled Featuring Travis Scott & Post Malone']
Celebrate Youth,['Rick Springfield']
Celebration,"['Game Featuring Chris Brown, Tyga, Wiz Khalifa & Lil Wayne'
 'Kool & The Gang' 'Madonna' 'Tommy James']"
Celebration/Take Your Chance,['Fun Factory']
Celebrity,['Brad Paisley']
Celebrity Skin,['Hole']
Celia Of The Seals,['Donovan']
Cell Therapy,['Goodie Mob']
Centerfield,['John Fogerty']
Centerfold,['The J. Geils Band']
Centipede,['Rebbie Jackson']
Centuries,['Fall Out Boy']
"Century's End (From ""Bright Lights, Big City"")",['Donald Fagen']
Certain Things Are Likely,['K.T.P.']
Cerveza,['Boots Brown And His Blockbusters' 'Bert Kaempfert And His Orchestra']
Ch Ch Cherie,['The Johnny Average Band Featuring Nikki Wills']
Ch-Check It Out,['Beastie Boys']
Cha-Cha Slide,['Mr. C The Slide Man']
Chain Gang,['Sam Cooke' 'Jackie Wilson & Count Basie']
Chain Gang Medley,['Jim Croce']
Chain Hang Low,['Jibbs']
Chain Of Fools,['Aretha Franklin' 'Little Caesar']
Chain Of Fools (Part 1),['Jimmy Smith']
Chain Reaction,['Diana Ross']
