Song,Performer
(Don't Fear) The Reaper,['Blue Oyster Cult']
(Don't Worry) If There's A Hell Below We're All Going To Go,['Curtis Mayfield']
(Down At) Papa Joe's,['The Dixiebelles']
(Every Time I Turn Around) Back In Love Again,['LTD']
(Everything I Do) I Do It For You,['Bryan Adams']
(For God's Sake) Give More Power To The People,['The Chi-lites']
(Forever) Live And Die,['Orchestral Manoeuvres In The Dark']
(Ghost) Riders In The Sky,['Outlaws' 'Ramrods']
"(Girls, Girls, Girls) Made To Love",['Eddie Hodges']
(God Must Have Spent) A Little More Time On You,"[""'N Sync""]"
(He's My) Dreamboat,['Connie Francis']
(He's) Raining In My Sunshine,['Jay & The Americans']
(He's) The Great Impostor,['The Fleetwoods']
(Here They Come) From All Over The World,['Jan & Dean']
(Hey Won't You Play) Another Somebody Done Somebody Wrong Song,['B.J. Thomas']
(Hot S**t) Country Grammar,['Nelly']
(How Bout A Little Hand For) The Boys In The Band,['The Boys In The Band']
(How Can I Write On Paper) What I Feel In My Heart,['Jim Reeves']
(How I Spent My Summer Vacation) Or A Day At The Beach With Pedro & Man - P,['Cheech & Chong']
(How To Be A) Millionaire,['ABC']
(I Believe) There's Nothing Stronger Than Our Love,['Paul Anka/Odia Coates']
(I Can Feel Those Vibrations) This Love Is Real,['Jackie Wilson']
(I Can Feel Your Love) Slipping Away,['Barbara Mason']
(I Can't Get No) Satisfaction,['The Rolling Stones']
(I Can't Help You) I'm Falling Too,['Skeeter Davis']
(I Could Only) Whisper Your Name,"['Harry Connick, Jr.']"
(I Cried at) Laura's Wedding,['Barbara Lynn']
(I Do The) Shimmy Shimmy,['Bobby Freeman']
(I Don't Care) Only Love Me,['Steve Lawrence']
(I Don't Want To Love You But) You Got Me Anyway,['Sutherland Brothers And Quiver']
(I Hate) Everything About You,['Three Days Grace']
(I Just) Died In Your Arms,['Cutting Crew']
(I Know I Got) Skillz,"[""Shaquille O'Neal""]"
(I Know) I'm Losing You,['The Temptations' 'Rare Earth' 'Uptown' 'Rod Stewart With Faces']
(I Love You) Don't You Forget It,['Perry Como']
(I Never Promised You A) Rose Garden,['Martina McBride']
(I Remember) Summer Morning,['Vanity Fare']
(I Wanna) Dance With The Teacher,['The Olympics']
(I Wanna) Love My Life Away,['Gene Pitney']
(I Wanna) Testify,['The Parliaments']
(I Washed My Hands In) Muddy Water,['Johnny Rivers']
(I Will Be Your) Shadow In The Street,['Allan Clarke']
(I was) Born To Cry,['Dion']
(I'd Know You) Anywhere,['Ashford & Simpson']
(I'll Be With You In) Apple Blossom Time,['Tab Hunter']
(I'm A) Road Runner,['Jr. Walker & The All Stars']
(I'm A) YoYo Man,['Rick Cunha']
(I'm Going By) The Stars In Your Eyes,['Ron Banks And The Dramatics']
(I'm Just A) Fool For You,['Gene Chandler']
(I'm Not Your) Steppin' Stone,['The Monkees']
(I'm So) Afraid Of Losing You Again,['Charley Pride']
(I'm Watching) Every Little Move You Make,['Little Peggy March']
(I've Got) Bonnie,['Bobby Rydell']
(I've Got) Spring Fever,['Little Willie John']
(I've Had) The Time Of My Life,['Glee Cast' 'Bill Medley & Jennifer Warnes']
(If Loving You Is Wrong) I Don't Want To Be Right,['Barbara Mandrell' 'Luther Ingram']
(If There Was) Any Other Way,['Celine Dion']
"(If You Cry) True Love, True Love",['The Drifters']
(If You Let Me Make Love To You Then) Why Can't I Touch You?,['Ronnie Dyson']
(If You Want It) Do It Yourself,['Gloria Gaynor']
(If You're Not In It For Love) I'm Outta Here!/The Woman In Me,['Shania Twain']
(If You're Wondering If I Want You To) I Want You To,['Weezer']
(It Never Happens) In Real Life,['Chuck Jackson']
(It's Been A Long Time) Pretty Baby,['Gino & Gina']
(It's Just) The Way That You Love Me,['Paula Abdul']
(It's No) Sin,['The Duprees featuring Joey Vann']
(It's The Way) Nature Planned It,['Four Tops']
(It) Feels So Good,['Steven Tyler']
(Just Like) Romeo & Juliet,['The Reflections']
(Just Like) Romeo And Juliet,['Sha Na Na']
(Just Like) Starting Over,['John Lennon']
(Keep Feeling) Fascination,['The Human League']
(Kissed You) Good Night,['Gloriana']
(Last Night) I Didn't Get To Sleep At All,['The 5th Dimension']
(Lay Your Head On My) Pillow,['Tony Toni Tone']
(Let's Do) The Hully Gully Twist,['Bill Doggett']
(Loneliness Made Me Realize) It's You That I Need,['The Temptations']
(Love Is Like A) Baseball Game,['The Intruders']
(Love Is) Thicker Than Water,['Andy Gibb']
(Love Me) Love The Life I Lead,['The Fantastics']
(Love Theme From) One Eyed Jacks,['Ferrante & Teicher']
"(Mama Come Quick, and Bring Your) Lickin' Stick",['George Torrence & The Naturals']
(Marie's The Name) His Latest Flame,['Elvis Presley']
"(Meet) The Flintstones (From ""The Flintstones"")","[""The B.C. 52's""]"
(My Girl) Sloopy,['Little Caesar And The Consuls']
(Native Girl) Elephant Walk,['Donald Jenkins & The Delighters']
(New In) The Ways Of Love,['Tommy Edwards']
(Night Time Is) The Right Time,['Ray Charles with the Raylettes']
(Not Just) Knee Deep - Part 1,['Funkadelic']
(Now You See Me) Now You Don't,['Lee Ann Womack']
(Now and Then There's) A Fool Such As I,['Elvis Presley With The Jordanaires']
(Oh Lord Won't You Buy Me A) Mercedes Benz,['Goose Creek Symphony']
(One Of These Days) Sunday's Gonna' Come On Tuesday,['The New Establishment']
(Open Up The Door) Let The Good Times In,['Dean Martin']
(Our Love) Don't Throw It All Away,['Andy Gibb']
(Pride) In The Name Of Love,['U2']
(Quarter To Four) Stomp,['The Stompers']
(Reach Up For The) Sunrise,['Duran Duran']
(Remember Me) I'm The One Who Loves You,['Dean Martin']
(Remember The Days Of The) Old Schoolyard,['Cat Stevens']
(Sartorial Eloquence) Don't Ya Wanna Play This Game No More?,['Elton John']
(Say) You're My Girl,['Roy Orbison']
"(See You At The) ""Go-Go""",['Dobie Gray']
(Seven Little Girls) Sitting In The Back Seat,['Paul Evans and the Curls']
"(Shake, Shake, Shake) Shake Your Booty",['KC And The Sunshine Band']
(She's A) Very Lovely Woman/The Long Way Around,['Linda Ronstadt']
(She's Got) Skillz,['All-4-One']
(She's Just A) Fallen Angel,['Starz']
(She's) Some Kind Of Wonderful,['Huey Lewis & The News' 'The Fantastic Johnny C']
(Shu-Doo-Pa-Poo-Poop) Love Being Your Fool,['Travis Wammack']
(Sittin' On) The Dock Of The Bay,"['Michael Bolton' 'Otis Redding' 'The Reddings'
 'King Curtis & The Kingpins' 'Sammy Hagar' ""Sergio Mendes & Brasil '66""]"
(Such An) Easy Question,['Elvis Presley With The Jordanaires']
(Sweet Sweet Baby) Since You've Been Gone,['Aretha Franklin']
(That's) What The Nitty Gritty Is,['Shirley Ellis']
(The Bees Are For The Birds) The Birds Are For The Bees,['The Newbeats']
(The Best Part Of) Breakin' Up,['The Ronettes']
(The Clickity Clack Song) Four Little Heels,['Brian Hyland']
(The Lament Of The Cherokee) Indian Reservation,['Don Fardon']
(The Lights Went Out In) Massachusetts,['Bee Gees']
(The Man Who Shot) Liberty Valance,['Gene Pitney']
(The Puppet Song) Whiskey On A Sunday,['The Irish Rovers']
"(The Story Of) Woman, Love And A Man (Part 1)",['Tony Clarke']
(The System Of) Doctor Tarr And Professor Fether,['The Alan Parsons Project']
"(Theme From) ""Goodbye Again""",['Ferrante & Teicher']
(Theme From) Any Number Can Win,['Jimmy Smith']
(Theme From) Love Story,['Henry Mancini And His Orchestra']
(Theme From) Silver City,['The Ventures']
(Theme From) The Sundowners,['Mantovani & His Orchestra']
(Theme From) Valley Of The Dolls,['Dionne Warwick']
"(Theme from) ""The Dark At The Top Of The Stairs""",['Ernie Freeman']
(Theme from) A Summer Place,['Dick Roman']
(Theme from) Charlie's Angels,['Henry Mancini And His Orchestra']
(Theme from) My Three Sons,['Lawrence Welk And His Orchestra']
(Theme from) The Great Impostor,['Henry Mancini And His Orchestra']
(There Was A) Tall Oak Tree,['Dorsey Burnette']
(There'll Come A Day When) Ev'ry Little Bit Hurts,['Bobby Vee']
(There's Gotta Be) More To Life,['Stacie Orrico']
(There's No Place Like) Home For The Holidays,['Perry Como']
(There's) Always Something There To Remind Me,['Lou Johnson' 'Dionne Warwick' 'Sandie Shaw']
(There's) No Gettin' Over Me,['Ronnie Milsap']
(They Long To Be) Close To You,['Carpenters' 'Jerry Butler & Brenda Lee Eager']
(Today I Met) The Boy I'm Gonna Marry,['Darlene Love']
(Want You) Back In My Life Again,['Carpenters']
(We Ain't Got) Nothin' Yet,['Blues Magoos']
(We'll Be) United,['The Intruders']
(We've Got) Honey Love,['Martha Reeves & The Vandellas']
(Welcome) New Lovers,['Pat Boone']
(What A Sad Way) To Love Someone,['Ral Donner']
(What A) Wonderful World,['Art Garfunkel With James Taylor & Paul Simon']
(When She Needs Good Lovin') She Comes To Me,['The Chicago Loop']
(When You Gonna) Give It Up To Me,['Sean Paul Featuring Keyshia Cole']
(Where Do I Begin) Love Story,['Andy Williams']
(Wish I Could Fly Like) Superman,['The Kinks']
(You Better) Know What You're Doin',['Lloyd Price and His Orchestra']
(You Can Still) Rock In America,['Night Ranger']
(You Can't Let The Boy Overpower) The Man In You,['The Miracles' 'Chuck Jackson']
(You Don't Have To) Paint Me A Picture,['Gary Lewis And The Playboys']
(You Don't Know) How Glad I Am,['Nancy Wilson']
(You Drive Me) Crazy,['Britney Spears']
(You Got To Walk And) Don't Look Back,['Peter Tosh with Mick Jagger']
(You Gotta) Fight For Your Right (To Party!),['Beastie Boys']
(You Keep Me) Hangin' On,['Joe Simon']
"(You Make Me Feel Like) A Natural Woman (From ""New York Undercover"")",['Mary J. Blige']
(You Make Me Feel) So Good,['The McCoys']
(You Want To) Make A Memory,['Bon Jovi']
(You Were Made For) All My Love,['Jackie Wilson']
(You're Gonna) Hurt Yourself,['Frankie Valli']
(You're My One And Only) True Love,['Seduction']
(You're My) Soul And Inspiration,['Donny & Marie Osmond' 'The Righteous Brothers']
(You're Puttin') A Rush On Me,['Stephanie Mills']
(You're the) Devil In Disguise,['Elvis Presley With The Jordanaires']
(You're) Having My Baby,['Paul Anka with Odia Coates']
(You've Got Me) Dangling On A String,['Chairman Of The Board']
(You've Got To) Move Two Mountains,['Marv Johnson']
(You've Got) Personality And Chantilly Lace,['Mitch Ryder']
(Your Love Keeps Lifting Me) Higher And Higher,['Jackie Wilson']
(everybody Wanna Get Rich) Rite Away,['Dr. John']
(i've Been) Searchin' So Long,['Chicago']
(if You Add) All The Love In The World,['Mac Davis']
(oh) Pretty Woman,['Van Halen']
(one More Year Of) Daddy's Little Girl,['Ray Sawyer']
(she's) Sexy + 17,['Stray Cats']
(what) In The Name Of Love,['Naked Eyes']
"(you're So Square) Baby, I Don't Care",['Joni Mitchell']
(your Love Has Lifted Me) Higher And Higher,['Rita Coolidge']
***Flawless,['Beyonce Featuring Nicki Minaj Or Chimamanda Ngozi Adichie']
-twistin'-White Silver Sands,"[""Bill Black's Combo""]"
......And Roses And Roses,['Andy Williams']
...And Then There Were Drums,['Sandy Nelson']
...Baby One More Time,['Britney Spears']
...Ready For It?,['Taylor Swift']
0 To 100 / The Catch Up,['Drake']
1 Night,['Lil Yachty']
1 Thing,['Amerie']
1+1,['Beyonce']
"1, 2 Many",['Luke Combs & Brooks & Dunn']
"1, 2 Step",['Ciara Featuring Missy Elliott']
"1, 2, 3, 4","[""Plain White T's""]"
"1, 2, 3, 4 (Sumpin' New)",['Coolio']
"1, 2, 3, Red Light",['1910 Fruitgum Co.']
"1,000 Laughs",['Eloise Laws']
1-4-All-4-1,['East Coast Family']
1-800-273-8255,['Logic Featuring Alessia Cara & Khalid']
1-Luv,['E-40 (Featuring Leviti)']
1.5,['21 Savage']
1/2/2003,['Gloria Estefan & Miami Sound Machine' 'Len Barry' 'The Chimes']
10 Bands,['Drake']
10 Freaky Girls,['Metro Boomin Featuring 21 Savage']
10 Little Bottles,['Johnny Bond']
"10,000 Hours",['Dan + Shay & Justin Bieber']
10/9/2008,['Face To Face']
100,['The Game Featuring Drake']
100 Grandkids,['Mac Miller']
100 Years,['Five For Fighting' 'Nancy Sinatra']
100% Pure Love,['Crystal Waters']
11-Jul,['Beyonce']
12-Jul-39,['Charlie Rich']
1234,['Feist']
13 Questions,['Seatrain']
14-Mar,['Drake']
1400 / 999 Freestyle,['Trippie Redd Featuring Juice WRLD']
143,['Bobby Brackins Featuring Ray J']
1432 Franklin Pike Circle Hero,['Bobby Russell']
15 Minutes,['Marc Nelson']
16 Candles,['The Crests']
17,['Rick James']
17 Again,['Brantley Gilbert']
18,['One Direction']
18 And Life,['Skid Row']
18 Yellow Roses,['Bobby Darin']
19,['Paul Hardcastle']
19 Somethin',['Mark Wills']
19 You + Me,['Dan + Shay']
1900 Yesterday,"[""Liz Damon's Orient Express""]"
1901,['Phoenix']
1927 Kansas City,['Mike Reilly']
1941,['Tom Northcott']
1942,['G-Eazy Featuring Yo Gotti & YBN Nahmir']
1942 Flows,['Meek Mill']
1973,['James Blunt']
1979,['The Smashing Pumpkins']
1984,['Spirit']
1985,['Bowling For Soup']
1985 (Intro To The Fall Off),['J. Cole']
1994,['Jason Aldean']
1999,['Prince']
19th Nervous Breakdown,['The Rolling Stones']
1st Of Tha Month,['Bone Thugs-N-Harmony']
1st Time,['Yung Joc Featuring Marques Houston & Trey Songz']
2 Become 1,['Spice Girls']
2 Legit 2 Quit,['M.C. Hammer']
2 On,['Tinashe Featuring ScHoolboy Q']
2 Phones,['Kevin Gates']
2 Reasons,['Trey Songz Featuring T.I.']
2 Step,['Unk']
2 Way Street,['Missjones']
20-75,['Willie Mitchell']
20/20,['George Benson']
2012 (It Ain't The End),['Jay Sean Featuring Nicki Minaj']
21 Guns,['Green Day']
21 Questions,['50 Cent Featuring Nate Dogg']
21st Century Girl,['Willow']
22,['Taylor Swift']
223's,['YNW Melly & 9lokknine']
23,"['Mike WiLL Made-It Featuring Miley Cyrus, Wiz Khalifa & Juicy J']"
24 Hours,['TeeFLii Featuring 2 Chainz']
24's,['T.I.']
24/7,['Meek Mill Featuring Ella Mai' 'Dino' 'Kevon Edmonds']
24K Magic,['Bruno Mars']
25 Or 6 To 4,['Chicago']
25 To Life,['Eminem']
26 Cents,['The Wilkinsons']
2U,['David Guetta Featuring Justin Bieber']
3,['Britney Spears']
3 A.M. Eternal,['The KLF']
3 Headed Snake,['Gunna Featuring Young Thug']
3 Little Words,['Nu Flavor']
3 Peat,['Lil Wayne']
3-2-1 Pump,['Redhead Kingpin & The F.B.I.']
30 For 30 Freestyle,['Drake']
30-60-90,['Willie Mitchell']
3000 Miles,['Brian Hyland']
31 Days,['Future']
31 Flavors,['The Shirelles']
32 Flavors,['Alana Davis']
3500,['Travi$ Scott Featuring Future & 2 Chainz']
360 Degrees (What Goes Around),['Grand Puba']
365,['Zedd & Katy Perry']
3am,['Eminem']
3rd Man Theme,['Herb Alpert & The Tijuana Brass']
4 - By The Beatles,['The Beatles']
4 Da Gang,['Future']
4 Ever,"[""Lil' Mo Featuring Fabolous""]"
4 In The Morning,['Gwen Stefani']
4 Minutes,['Avant' 'Madonna Featuring Justin Timberlake & Timbaland' 'Glee Cast']
4 My Town (Play Ball),['Birdman Featuring Drake & Lil Wayne']
4 Seasons Of Loneliness,['Boyz II Men']
4 Your Eyez Only,['J. Cole']
"4, 3, 2, 1","['LL Cool J Featuring Method Man, Redman, DMX, Canibus And Master P']"
"4, 5, 6",['Sole Featuring JT Money & Kandi']
409,['The Beach Boys']
44 More,['Logic']
442 Glenwood Avenue,['The Pixies Three']
4422,['Drake Featuring Sampha']
444+222,['Lil Uzi Vert']
4:00 AM,['2 Chainz Featuring Travis Scott' 'Melanie Fiona']
4:44,['JAY-Z']
4th Dimension,['KIDS SEE GHOSTS Featuring Louis Prima']
5 D (Fifth Dimension),['The Byrds']
5 Miles To Empty,['Brownstone']
5 O'Clock,['T-Pain Featuring Wiz Khalifa & Lily Allen' 'Nonchalant']
5 Star,['Yo Gotti']
5% Tint,['Travis Scott']
5-1-5-0,['Dierks Bentley']
5-10-15-20 (25-30 Years Of Love),['The Presidents']
5-4-3-2 (Yo! Time Is Up),['Jade']
5.7.0.5.,['City Boy']
50 Ways To Leave Your Lover,['Paul Simon']
50 Ways To Say Goodbye,['Train']
500 Miles,['Hooters']
500 Miles Away From Home,['Bobby Bare']
57 Channels (And Nothin' On),['Bruce Springsteen']
5:15,['The Who']
6 Foot 7 Foot,['Lil Wayne Featuring Cory Gunz']
6 God,['Drake']
6 Inch,['Beyonce Featuring The Weeknd']
6 Kiss,['Trippie Redd Featuring Juice WRLD & YNW Melly']
6 Man,['Drake']
6 Minutes Of Pleasure,['LL Cool J']
6 Underground,['Sneaker Pimps']
"634-5789 (Soulsville, U.S.A.)",['Wilson Pickett']
66,['Lil Yachty Featuring Trippie Redd']
679,['Fetty Wap Featuring Remy Boyz']
7,['Prince And The New Power Generation']
7 And 7 Is,['Love']
7 Days,['Craig David']
7 Rings,['Ariana Grande']
7 Rooms Of Gloom,['Four Tops']
7 Seconds,"[""Youssou N'Dour & Neneh Cherry""]"
7 Things,['Miley Cyrus']
7 Years,['Lukas Graham']
7-6-5-4-3-2-1 (Blow Your Whistle),['Gary Toms Empire']
77 Sunset Strip,['The Big Sound Of Don Ralke']
777-9311,['The Time']
7:30 Guided Tour,['The Five Americans']
8,['Billie Eilish']
8 Out Of 10,['Drake']
8 X 10,['Bill Anderson']
808,['Blaque']
80s Mercedes,['Maren Morris']
853-5937,['Squeeze']
867-5309/jenny,['Tommy Tutone']
8th Of November,['Big & Rich']
8th Wonder,['Sugarhill Gang']
8th World Wonder,['Kimberley Locke']
9,['Drake']
9 AM In Dallas,['Drake']
9 Piece,['Rick Ross Featuring Lil Wayne Or T.I.']
9 To 5,['Dolly Parton']
"9,999,999 Tears",['Dickey Lee']
90's Girl,['Blackgirl']
911,['Wyclef Jean Featuring Mary J. Blige']
92 Explorer,['Post Malone']
93 'til Infinity,['Souls Of Mischief']
96 Tears,['? (Question Mark) & The Mysterians' 'Garland Jeffreys' 'Big Maybelle']
98.6,['Keith']
99,['Toto']
99 1/2,['Carol Lynn Townes']
99 Luftballons,['Nena']
99 Miles From L.a.,['Albert Hammond']
99 Problems,['JAY-Z' 'Tony Lucca']
99 Worlds,['Peter Wolf']
99.9% Sure (I've Never Been Here Before),['Brian McComas']
992 Arguments,"[""The O'Jays""]"
9th Wonder (Slicker This Year),['Digable Planets']
A Bad Goodbye,['Clint Black With Wynonna']
A Banda (Ah Bahn-da),['Herb Alpert & The Tijuana Brass']
A Bay Bay,['Hurricane Chris']
A Beautiful Morning,['The Rascals']
A Beautiful Story,['Sonny & Cher']
A Better Love,['Londonbeat']
A Big Hunk O' Love,['Elvis Presley With The Jordanaires']
A Bitter End,['Deryl Dodd']
A Boy Is A Gun,"['Tyler, The Creator']"
A Boy Named Sue,['Johnny Cash']
A Boy Without A Girl,['Frankie Avalon']
A Brand New Me,['Dusty Springfield']
A Breath Taking Guy,['The Supremes']
A Broken Wing,['Jordin Sparks']
A Case Of You,['James Wolpert']
A Certain Girl,['Warren Zevon' 'Ernie K-Doe']
A Certain Smile,['Johnny Mathis']
A Chance For Heaven,['Christopher Cross']
A Change Is Gonna Come,['Adam Lambert' 'Sam Cooke']
A Change Is Gonna Come & People Gotta Be Free/The Declaration,['The 5th Dimension']
A City Girl Stole My Country Boy,['Patti Page']
A Closer Walk,['Pete Fountain']
A Corner In The Sun,['Walter Jackson']
A Cottage For Sale,['Little Willie John']
A Country Boy Can Survive (Y2K Version),['Chad Brock With Hank Williams Jr. & George Jones']
A Cowboys Work Is Never Done,['Sonny & Cher']
A Cross Stands Alone,['Jimmy Witter']
A Day In My Life (Without You),['Lisette Melendez']
A Day In The Life Of A Fool,['Jack Jones']
"A Deeper Love (From ""Sister Act 2"")",['Aretha Franklin']
A Deeper Love/Pride In The Name Of Love,['Clivilles & Cole']
A Different Corner,['George Michael']
A Different World,['Bucky Covington']
A Dollar Down,['The Limeliters']
A Dose Of Rock 'N' Roll,['Ringo Starr']
A Dream Goes On Forever,['Todd Rundgren']
A Dreams A Dream,['Soul II Soul']
A Face In The Crowd,['Tom Petty']
A Feelin' Like That,['Gary Allan']
A Few Questions,['Clay Walker']
A Fifth Of Beethoven,['Walter Murphy & The Big Apple Band']
A Fine Fine Boy,['Darlene Love']
A Fine Fine Day,['Tony Carey']
A Fool In Love,['Ike & Tina Turner']
A Fool Never Learns,['Andy Williams']
A Fool Such As I,['Bob Dylan']
A Friend In The City,['Andy Kim']
A Friend Of Mine Is Going Blind,['John Dawson Read']
A Girl Has To Know,['The G-Clefs']
A Girl In Trouble (Is A Temporary Thing),['Romeo Void']
A Girl Like You,['The Smithereens' 'The Young Rascals' 'Gary Stites' 'Easton Corbin']
"A Girl Like You (From ""Empire Records"")",['Edwyn Collins']
A Girl's Work Is Never Done,['The Chordettes']
A Good Day To Run,['Darryl Worley']
A Good Heart,['Feargal Sharkey']
A Great Big Sled,['The Killers Featuring Toni Halliday']
A Groovy Kind Of Love,['The Mindbenders']
A Guy Walks Into A Bar,['Tyler Farr']
A Guy With A Girl,['Blake Shelton']
A Happy Guy,['Rick Nelson']
A Hard Day's Night,['The Beatles' 'Ramsey Lewis Trio']
A Hazy Shade Of Winter,['Simon & Garfunkel']
A Heart In New York,['Art Garfunkel']
A Holly Jolly Christmas,['Burl Ives']
A Horse With No Name,['America']
A House Is Not A Home,['Glee Cast' 'Brook Benton' 'Dionne Warwick']
A House Of Love,['Scott Garrett']
"A House, A Car And A Wedding Ring",['Mike Preston' 'Dale Hawkins']
A Hundred Pounds Of Clay,['Gene McDaniels']
A Hurricane Is Coming Tonite,['Carol Douglas']
A Kind Of Magic,['Queen']
A Kookie Little Paradise,['Jo Ann Campbell']
A La Primera Persona,['Alejandro Sanz']
A Lesson In Leavin',['Dottie West']
A Letter From Betty,['Bobby Vee']
A Letter To An Angel,['Jimmy Clanton']
A Letter To Dad,"[""Every Father's Teenage Son""]"
A Letter To Myself,['The Chi-lites']
A Letter To The Beatles,['The Four Preps']
A Lie,['French Montana Featuring The Weeknd & Max B']
A Life Of Illusion,['Joe Walsh']
A Lifetime Of Loneliness,['Jackie DeShannon']
A Light That Never Comes,['Linkin Park X Steve Aoki']
A Little Bit Like Magic,['King Harvest']
A Little Bit Longer,['Jonas Brothers']
"A Little Bit Me, A Little Bit You",['The Monkees']
A Little Bit More,['Dr. Hook']
A Little Bit Now,['The Dave Clark Five']
A Little Bit Now (A Little Bit Later),['The Majors']
A Little Bit Of Ecstasy,['Jocelyn Enriquez']
A Little Bit Of Heaven,['Ronnie Dove']
A Little Bit Of Love (Is All It Takes),['New Edition']
A Little Bit Of Soap,['The Exciters' 'The Jarmels' 'Paul Davis' 'Garnet Mimms']
A Little Bit Stronger,['Sara Evans']
A Little Bit of Heaven,['Natalie Cole']
A Little Bitty Tear,['Burl Ives' 'Wanda Jackson']
A Little Dog Cried,['Jimmie Rodgers']
A Little Feeling (Called Love),['Jack Scott']
A Little Gasoline,['Terri Clark']
A Little Good News,['Anne Murray']
A Little In Love,['Cliff Richard']
A Little Is Enough,['Pete Townshend']
A Little Less Conversation,['Elvis Presley vs JXL' 'Elvis Presley With The Jordanaires']
"A Little Less Sixteen Candles, A Little More Touch Me",['Fall Out Boy']
A Little Love,['Corey Hart' 'Juice Newton']
A Little Lovin' (Keeps The Doctor Away),['The Raes']
A Little More Country Than That,['Easton Corbin']
A Little More Love,['Olivia Newton-John']
A Little More Summertime,['Jason Aldean']
A Little Party Never Killed Nobody (All We Got),"['Fergie, Q-Tip & GoonRock']"
A Little Past Little Rock,['Lee Ann Womack']
A Little Rain Must Fall,['The Epic Splendor']
A Little Respect,['Erasure']
A Little Too Late,['Toby Keith']
A Little Too Much,['Clarence Henry' 'Shawn Mendes']
A Little Toy Balloon,['Danny Williams']
A Little You,['Freddie And The Dreamers']
A Lonely Man/The Man & The Woman (The Boy & The Girl),['The Chi-lites']
A Lonely Night,['The Weeknd']
"A Long Time, A Long Way To Go",['Runt-Todd Rundgren']
A Long Walk,['Jill Scott']
A Lot,['21 Savage']
A Lot Of Things Different,['Kenny Chesney']
A Love Bizarre,['Sheila E.']
A Love Of My Own,['Carla Thomas']
A Love She Can Count On,['The Miracles']
A Love So Fine,['The Chiffons']
A Love Song,['Kenny Rogers']
A Love That's Real,['The Intruders']
A Lover's Concerto,['The Toys' 'Sarah Vaughan' 'Mrs. Miller']
A Lover's Holiday,['Change']
A Lover's Prayer,['Dion & The Belmonts']
A Lover's Question,['Clyde McPhatter' 'Otis Redding' 'Loggins & Messina' 'Ernestine Anderson']
A Lucky Guy,['Rickie Lee Jones']
A Mama And A Papa,['Ray Stevens']
A Man Ain't Made Of Stone,['Randy Travis']
A Man And A Half,['Wilson Pickett']
A Man And A Woman,['Tamiko Jones with Herbie Mann']
A Man Holdin' On (To A Woman Lettin' Go),['Ty Herndon']
A Man I'll Never Be,['Boston']
A Man Needs A Woman,['James Carr']
A Man Who Was Gonna Die Young,['Eric Church']
A Man Without Love (Quando M'innamoro),['Engelbert Humperdinck']
A Matter Of Trust,['Billy Joel']
A Mess Of Blues,['Elvis Presley With The Jordanaires']
A Milli,['Lil Wayne']
A Million And One,['Vic Dana' 'Dean Martin']
A Million Dreams,['P!nk']
A Million Miles Away,['The Plimsouls']
